,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
22578,188218841,7c7a23e1fd1975b417203534ffeca4e5cfe6065aa2fc4b9751122561b412a58f,6.843029975891113,79.8677978515625,6.886630058288574,79.85910034179688,2019-11-04 12:55:00,2019-11-04 13:05:00,2019-11-04 13:49:00,dining
22582,188296795,883a10d0af1f6b57b25db8a0ffbea6b2d6304fa7f42fb105b68365280aaea691,6.909999847412109,79.87889862060547,6.895959854125977,79.88860321044922,2019-11-05 18:52:00,2019-11-05 18:45:00,2019-11-05 19:25:00,dining
22583,188296800,883a10d0af1f6b57b25db8a0ffbea6b2d6304fa7f42fb105b68365280aaea691,6.909999847412109,79.87889862060547,6.895949840545654,79.88849639892578,2019-11-07 18:51:00,2019-11-07 18:45:00,2019-11-07 19:46:00,dining
22599,188488122,61c1a4b1defaf58d3bfa21080df7bcf02c6e52cfdc77048e37bed50a9210b5c4,6.910170078277588,79.8761978149414,6.850220203399658,79.86609649658203,2019-11-04 18:00:00,2019-11-04 18:00:00,2019-11-04 18:58:00,dining
22600,188488123,61c1a4b1defaf58d3bfa21080df7bcf02c6e52cfdc77048e37bed50a9210b5c4,6.910170078277588,79.8761978149414,6.850769996643066,79.86620330810547,2019-11-05 18:19:00,2019-11-05 18:00:00,2019-11-05 19:16:00,dining
23449,188516097,86fe9298bc6f3d652d42ab332f8d555efb4fd22a5cb751b2a7e72f089e8254cf,6.909359931945801,79.95359802246094,6.917960166931152,79.86470031738281,2019-11-04 07:32:00,2019-11-04 07:15:00,2019-11-04 09:03:00,dining
23535,188518702,341b27f0deb024f2bee7e887456a1f0701172565d0e0d63974275913879b2d7a,6.849780082702637,79.8738021850586,6.892210006713867,79.86699676513672,2019-11-04 07:40:00,2019-11-04 07:27:00,2019-11-04 09:30:00,dining
23762,188524915,3cabc6ec5379be3c11b844662028c103e4aa0aa2f776039dea7020b6edcf88e4,6.890820026397705,79.99430084228516,6.898709774017334,79.85569763183594,2019-11-04 08:09:00,2019-11-04 07:52:00,2019-11-04 09:25:00,dining
23924,188528704,d2f003a92465e4cf6ba8bb684aa9442bebe7792956c135daf1794b2bc4e9d887,6.836460113525391,79.99340057373047,6.910739898681641,79.8499984741211,2019-11-04 08:17:00,2019-11-04 08:10:00,2019-11-04 09:17:00,dining
23999,188530248,8dde8450f9906876679b41942bb70938585d209dafca6d18a7031fc23efec970,6.861969947814941,79.86260223388672,6.910339832305908,79.87999725341797,2019-11-04 08:46:00,2019-11-04 09:00:00,2019-11-04 10:12:00,dining
24031,188530987,80b13da0093b8a1d378ea935938186a7a837631d74fec8108c10e4d458d5ee7e,6.939310073852539,79.86579895019531,6.866380214691162,79.8738021850586,2019-11-04 08:25:00,2019-11-04 08:15:00,2019-11-04 09:12:00,dining
24034,188530999,c84bf7b18fffb97e54639ef2efb69542500d318a3a4685551d7904c8e7487355,6.916669845581055,79.94149780273438,6.91431999206543,79.87480163574219,2019-11-04 08:26:00,2019-11-04 08:15:00,2019-11-04 09:11:00,dining
24050,188531326,8e60499f90039d1feac580f35f8255b97842645f0627113362dbad3481fc6ab9,6.870580196380615,79.99320220947266,6.88431978225708,79.88700103759766,2019-11-04 08:26:00,2019-11-04 08:17:00,2019-11-04 09:20:00,dining
24220,188534499,bc86e9bd2dac14057ac1669420a332ddb5a772cf5a325531e67f674b90b1a533,6.839310169219971,79.87200164794922,6.88730001449585,79.8864974975586,2019-11-04 08:34:00,2019-11-04 08:30:00,2019-11-04 09:11:00,dining
24249,188535033,218fcf298d61404f84b98e2fcb7b0da062742daa7fdb17a4b151efb4d50e5d41,6.857500076293945,79.94770050048828,6.865469932556152,79.89669799804688,2019-11-04 08:47:00,2019-11-04 08:45:00,2019-11-04 09:19:00,dining
24275,188535269,e53409b85912c83e7cd4e8ea38e2c685e9a7cbaaf155fc0cbd469842f7967120,6.906819820404053,79.89469909667969,6.900090217590332,79.8948974609375,2019-11-04 09:01:00,2019-11-04 08:34:00,2019-11-04 09:06:00,dining
24289,188535482,e64ef76c9c86555377b2cad16324f2aaddee3928698927083256740384578a67,6.849520206451416,79.90070343017578,6.895050048828125,79.86119842529297,2019-11-04 08:43:00,2019-11-04 08:35:00,2019-11-04 09:11:00,dining
24290,188535485,716e4a5d931dc28d3ea7581e432cdb21d5f14dd0f481d96bf8ea30a328446a4e,6.932779788970947,79.856201171875,6.893119812011719,79.86209869384766,2019-11-04 08:45:00,2019-11-04 08:35:00,2019-11-04 09:05:00,dining
24297,188535632,8f80b1cfa8e54372d34ba8f8e50b13978e5e67e0468e6d4d130a9fa22a5ece5d,6.863580226898193,79.88369750976562,6.881969928741455,79.85900115966797,2019-11-04 08:53:00,2019-11-04 08:36:00,2019-11-04 09:07:00,dining
