,trip_id,passenger_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,actual_pickup_time,pickup_time,drop_time,Trip purpose
0,188700502,0029f4801cc292515e7307f4c06dfcaee6932662fb8eae0ec3812be764d5175e,6.94533,79.8584,6.89516,79.8532,2019-11-05 06:26:00,2019-11-05 06:22:00,2019-11-05 06:44:00,education
1,188867625,0029f4801cc292515e7307f4c06dfcaee6932662fb8eae0ec3812be764d5175e,6.94534,79.8584,6.89515,79.8531,2019-11-06 06:29:00,2019-11-06 06:21:00,2019-11-06 06:48:00,education
2,189052841,0029f4801cc292515e7307f4c06dfcaee6932662fb8eae0ec3812be764d5175e,6.94537,79.8584,6.89504,79.853,2019-11-07 06:29:00,2019-11-07 06:22:00,2019-11-07 06:48:00,education
3,188504553,0031191d45dd411b9df4cab466a3cb21667f785a4f852f8e832f1d1b4eac4f1b,6.89407,79.8951,6.90638,79.8774,2019-11-04 06:28:00,2019-11-04 06:19:00,2019-11-04 06:55:00,education
5,189051578,0031191d45dd411b9df4cab466a3cb21667f785a4f852f8e832f1d1b4eac4f1b,6.89407,79.8951,6.90626,79.8774,2019-11-07 06:15:00,2019-11-07 06:06:00,2019-11-07 06:36:00,education
6,189260245,0031191d45dd411b9df4cab466a3cb21667f785a4f852f8e832f1d1b4eac4f1b,6.89402,79.895,6.90608,79.8774,2019-11-08 06:17:00,2019-11-08 06:08:00,2019-11-08 06:36:00,education
41,188504605,00803969132d85c15a6450ae2c71e160d120a90e33d795f6346cd5146af5c81c,6.88015,79.8625,6.90531,79.8612,2019-11-04 06:28:00,2019-11-04 06:19:00,2019-11-04 06:38:00,education
42,188700187,00803969132d85c15a6450ae2c71e160d120a90e33d795f6346cd5146af5c81c,6.88011,79.8625,6.90529,79.8612,2019-11-05 06:28:00,2019-11-05 06:16:00,2019-11-05 06:39:00,education
43,189052827,00803969132d85c15a6450ae2c71e160d120a90e33d795f6346cd5146af5c81c,6.8801,79.8625,6.90531,79.8609,2019-11-07 06:31:00,2019-11-07 06:22:00,2019-11-07 06:45:00,education
44,188515774,0086caa54ccf40ec246219f5bd224055518a546252723cc40a9bafa6d94969a2,6.88119,79.8782,6.90947,79.8711,2019-11-04 07:23:00,2019-11-04 07:14:00,2019-11-04 07:46:00,education
45,188711076,0086caa54ccf40ec246219f5bd224055518a546252723cc40a9bafa6d94969a2,6.88118,79.8782,6.90942,79.8712,2019-11-05 07:40:00,2019-11-05 07:29:00,2019-11-05 08:25:00,education
46,189062337,0086caa54ccf40ec246219f5bd224055518a546252723cc40a9bafa6d94969a2,6.88121,79.8782,6.90935,79.8712,2019-11-07 07:17:00,2019-11-07 07:09:00,2019-11-07 07:44:00,education
52,188528059,00e2c609b4339c40455281ce1793c5e2158dd90d163ff4d64bc0795b715b6393,6.85615,79.8718,6.89407,79.8604,2019-11-04 08:17:00,2019-11-04 08:03:00,2019-11-04 08:42:00,education
55,189288746,00e2c609b4339c40455281ce1793c5e2158dd90d163ff4d64bc0795b715b6393,6.85592,79.872,6.89404,79.8603,2019-11-08 07:53:00,2019-11-08 07:44:00,2019-11-08 08:21:00,education
57,188523709,00eca703e557cd683b80a693f35dd369ecb0c6e1697c2f0ccfb7f1338af39aa1,6.80623,79.894,6.88033,79.8706,2019-11-04 08:03:00,2019-11-04 07:48:00,2019-11-04 08:33:00,education
58,188719603,00eca703e557cd683b80a693f35dd369ecb0c6e1697c2f0ccfb7f1338af39aa1,6.80628,79.8941,6.88032,79.8707,2019-11-05 08:21:00,2019-11-05 08:13:00,2019-11-05 08:55:00,education
59,188885821,00eca703e557cd683b80a693f35dd369ecb0c6e1697c2f0ccfb7f1338af39aa1,6.80628,79.8941,6.8803,79.8706,2019-11-06 08:12:00,2019-11-06 08:02:00,2019-11-06 08:43:00,education
60,189078938,00eca703e557cd683b80a693f35dd369ecb0c6e1697c2f0ccfb7f1338af39aa1,6.80628,79.8941,6.88026,79.8707,2019-11-07 08:21:00,2019-11-07 08:15:00,2019-11-07 08:54:00,education
61,189297644,00eca703e557cd683b80a693f35dd369ecb0c6e1697c2f0ccfb7f1338af39aa1,6.80628,79.8941,6.88031,79.8708,2019-11-08 08:12:00,2019-11-08 08:07:00,2019-11-08 08:51:00,education
85,188512628,0184d9cd40b59ecf434a555f3dad483212906d625df16f47ea9579dab028eb98,6.85003,79.8765,6.88873,79.8754,2019-11-04 07:09:00,2019-11-04 07:01:00,2019-11-04 07:34:00,education
86,188705435,0184d9cd40b59ecf434a555f3dad483212906d625df16f47ea9579dab028eb98,6.85003,79.8765,6.88871,79.8752,2019-11-05 07:07:00,2019-11-05 06:58:00,2019-11-05 07:35:00,education
87,188876421,0184d9cd40b59ecf434a555f3dad483212906d625df16f47ea9579dab028eb98,6.85003,79.8765,6.88865,79.8752,2019-11-06 07:22:00,2019-11-06 07:13:00,2019-11-06 07:44:00,education
115,188869521,021e807fd82612835ce0655ac07ce4d57fb740b8d8415bd4ffa303dcbdc2eb1d,6.8445,79.874,6.90929,79.8718,2019-11-06 06:55:00,2019-11-06 06:39:00,2019-11-06 07:34:00,education
116,189059099,021e807fd82612835ce0655ac07ce4d57fb740b8d8415bd4ffa303dcbdc2eb1d,6.84448,79.8741,6.90928,79.8719,2019-11-07 07:09:00,2019-11-07 06:56:00,2019-11-07 07:43:00,education
131,188719589,02e7454aaa5ea074a4ed1e8186f0ab8fcd624f630addc874baf30da918df1da9,6.89604,79.875,6.89628,79.8602,2019-11-05 08:17:00,2019-11-05 08:13:00,2019-11-05 08:24:00,education
